iter	Passed	Remaining
0	1	109
1	2	101
2	2	95
3	3	90
4	4	91
5	5	92
6	6	91
7	7	90
8	8	88
9	9	87
10	10	85
11	11	84
12	12	82
13	13	80
14	13	78
15	14	77
16	15	76
17	16	74
18	17	73
19	18	72
20	19	72
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
